Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 1. 21,B0121 C,C,14.8,6.92,1,0.01,0,6.6,0,0,Pass,Stagnant,0.00%,1762,98,1348,414,92,4,0,0.056,2.298918,0.878292,1860,310,332,308,232,166,128,96,66,70,54,34,14,28,14,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,17%,18%,17%,12%,9%,7%,5%,4%,4%,3%,2%,1%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,B0121 CF,C,10.6,6.94,1,0.23,0.2,7.4,0,0,Pass,Flushed,0.00%,246,12,214,32,10,2,0,0.049,1.948358,0.795463,258,98,42,36,24,14,8,16,2,0,6,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38%,16%,14%,9%,5%,3%,6%,1%,0%,2%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,A0121 B,B,25.7,7.15,1,0.01,0,35.9,32,0,Pass,Stag+In,0.20%,10726,5324,2186,8540,4666,610,46,0.496,2.670244,0.91715,16050,274,284,426,484,718,1066,1418,1886,2232,1938,1370,970,996,774,556,268,148,104,66,24,18,20,4,2,2,2,0,0,0,0,2%,2%,3%,3%,4%,7%,9%,12%,14%,12%,9%,6%,6%,5%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,A0121 BF,B,26.8,7.32,1,0.15,0.2,10.4,0,0,Pass,Flush+In,0.00%,382,36,216,166,28,6,2,0.094,2.51165,0.909619,418,56,56,36,30,38,28,32,32,52,22,10,8,4,6,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,13%,13%,9%,7%,9%,7%,8%,8%,12%,5%,2%,2%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,A0121 C,C,25.9,7.34,1,0.01,0,59.9,0,0,Pass,Stag+In,0.00%,11592,5842,1816,9776,4790,938,100,0.504,2.633477,0.906421,17434,180,260,338,420,618,926,1352,1802,2638,3058,1532,1112,946,656,544,384,206,174,102,72,38,20,20,12,10,4,6,2,2,0,1%,1%,2%,2%,4%,5%,8%,10%,15%,18%,9%,6%,5%,4%,3%,2%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,A0121 CF,C,25,7.42,1,0.23,0.2,5.7,0,0,Pass,Flush+In,0.00%,228,22,202,26,18,4,0,0.096,1.938498,0.782522,250,98,54,22,20,8,4,10,2,2,8,8,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39%,22%,9%,8%,3%,2%,4%,1%,1%,3%,3%,2%,2%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,B0124 C,C,17.4,6.86,1,0.01,0,12.7,0,0,Pass,Stagnant,0.00%,1582,384,916,666,350,28,6,0.243,2.663394,0.923508,1966,250,190,160,156,160,154,146,116,128,122,118,114,72,32,14,12,6,6,0,4,4,2,0,0,0,0,0,0,0,0,13%,10%,8%,8%,8%,8%,7%,6%,7%,6%,6%,6%,4%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 24,B0124 CF,C,9.8,6.73,1,0.29,0.3,4.7,0,0,Pass,Flushed,0.00%,280,10,250,30,8,2,0,0.036,1.806283,0.761532,290,120,62,34,18,16,10,10,8,0,2,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41%,21%,12%,6%,6%,3%,3%,3%,0%,1%,1%,1%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 3. 29,B0329 A,A,13.1,7.21,3,0.05,0.1,8.5,0,0,Pass,Stagnant,0.00%,330,46,258,72,20,4,8,0.139,2.322072,0.839262,376,126,62,38,22,10,16,14,14,16,12,6,2,2,6,4,0,2,2,0,0,2,2,4,0,0,0,4,0,10,0,34%,16%,10%,6%,3%,4%,4%,4%,4%,3%,2%,1%,1%,2%,1%,0%,1%,1%,0%,0%,1%,1%,1%,0%,0%,0%,1%,0%,3%,0%
2022. 3. 29,B0329 AF,A,12.8,7.24,3,0.15,0.2,13.7,0,0,Pass,Flushed,0.00%,880,12,740,140,12,0,0,0.014,1.976715,0.817341,892,278,194,124,94,50,38,28,38,24,12,2,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31%,22%,14%,11%,6%,4%,3%,4%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
