Exp Date,location,Type,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Culturability,LNA,HNA,ratio,ICC
2022. 4. 22,C,Stagnant,,,4,0.01,0,46,10,0,Pass,0.07%,12526,2482,0.198,15008
2022. 4. 22,C,Flushed,,,4,0.31,0.3,24.6,0,0,Pass,0.00%,1222,50,0.041,1272
2022. 4. 22,F,Stagnant,,,4,0.01,0,25.4,0,0,Pass,0.00%,572,24,0.042,596
2022. 4. 22,F,Flushed,,,4,0.24,0.2,61.6,0,0,Pass,0.00%,398,10,0.025,408
2022. 4. 22,D,Stagnant,,,4,0.05,0.1,12.2,0,0,Pass,0.00%,1092,72,0.066,1164
2022. 4. 22,D,Flushed,,,4,0.32,0.3,21.9,0,0,Pass,0.00%,750,72,0.096,822
2022. 4. 22,G,Stagnant,,,4,0.01,0,67.2,25,0,Pass,0.56%,4050,420,0.104,4470
2022. 4. 22,G,Flushed,,,4,0.27,0.3,20.2,0,0,Pass,0.00%,1010,68,0.067,1078
2022. 4. 26,B,Stagnant,,,4,0.01,0,34.4,567.5,1,Fail,1.99%,25456,3120,0.123,28576
2022. 4. 26,B,Flushed,,,4,0.16,0.2,12.5,0,0,Pass,0.00%,2514,478,0.19,2992
2022. 4. 26,C,Stagnant,,,4,0,0,55,17.5,0,Pass,0.12%,14022,708,0.05,14730
2022. 4. 26,C,Flushed,,,4,0.27,0.3,18.8,0,0,Pass,0.00%,1248,52,0.042,1300
2022. 4. 26,D,Stagnant,,,4,0,0,15.5,0,0,Pass,0.00%,1400,220,0.157,1620
2022. 4. 26,D,Flushed,,,4,0.28,0.3,32.5,0,0,Pass,0.00%,624,32,0.051,656
2022. 4. 26,G,Stagnant,,,4,0,0,35.5,0,0,Pass,0.00%,1254,138,0.11,1392
2022. 4. 26,G,Flushed,,,4,0.2,0.2,27.8,0,0,Pass,0.00%,1332,124,0.093,1456
2022. 4. 26,E,Stagnant,,,4,0,0,45.2,0,0,Pass,0.00%,1270,44,0.035,1314
